sample	model	with_DMR_input	AUROC	AUPR	top5	top10	top20
E11_5_FB	sevenMarks	yes	0.8271128	0.4376178	4	6	13	
E11_5_FB	coreMarks	yes	0.8410977	0.4989536	5	8	14	
E11_5_FB	sixHisMod	yes	0.8260752	0.4171122	3	7	11	
E11_5_FB	coreHisMod	yes	0.7758496	0.3561632	2	6	11	
E11_5_MB	sevenMarks	yes	0.7983713	0.3884562	4	8	11	
E11_5_MB	coreMarks	yes	0.8135942	0.3889677	4	6	11	
E11_5_MB	sixHisMod	yes	0.7719711	0.3608158	4	7	11	
E11_5_MB	coreHisMod	yes	0.7033898	0.2929686	3	6	10	
E11_5_HB	sevenMarks	yes	0.8199752	0.3531238	3	6	10	
E11_5_HB	coreMarks	yes	0.8202475	0.4156135	5	8	10	
E11_5_HB	sixHisMod	yes	0.7866584	0.3823788	5	9	10	
E11_5_HB	coreHisMod	yes	0.7637376	0.2704117	3	6	8	
E11_5_HT	sevenMarks	yes	0.836489	0.595159	5	10	16	
E11_5_HT	coreMarks	yes	0.7799373	0.4728685	4	7	14	
E11_5_HT	sixHisMod	yes	0.8368757	0.5960973	5	9	17	
E11_5_HT	coreHisMod	yes	0.6992268	0.3731185	5	6	9	
E11_5_LM	sevenMarks	yes	0.8215586	0.4013983	2	4	10	
E11_5_LM	coreMarks	yes	0.8269174	0.3936894	2	4	11	
E11_5_LM	sixHisMod	yes	0.8090938	0.3933639	2	6	11	
E11_5_LM	coreHisMod	yes	0.7250117	0.2766348	3	4	8	
E11_5_NT	sevenMarks	yes	0.771068	0.2570989	3	4	5	
E11_5_NT	coreMarks	yes	0.7656311	0.2565602	3	4	5	
E11_5_NT	sixHisMod	yes	0.752589	0.2274405	2	5	5	
E11_5_NT	coreHisMod	yes	0.7022006	0.1565666	1	2	5	
E11_5_FB	sevenMarks	no	0.7965714	0.3512407	1	5	10	
E11_5_FB	coreMarks	no	0.7589173	0.300606	2	4	7	
E11_5_FB	sixHisMod	no	0.8040301	0.3496283	2	3	10	
E11_5_FB	coreHisMod	no	0.7557444	0.3386557	3	5	10	
E11_5_MB	sevenMarks	no	0.7919369	0.3419309	2	5	11	
E11_5_MB	coreMarks	no	0.7815617	0.2946827	2	6	8	
E11_5_MB	sixHisMod	no	0.7824859	0.3346288	2	6	13	
E11_5_MB	coreHisMod	no	0.6795703	0.1965396	2	2	4	
E11_5_HB	sevenMarks	no	0.7445545	0.2786789	3	5	9	
E11_5_HB	coreMarks	no	0.7263861	0.2184616	2	5	7	
E11_5_HB	sixHisMod	no	0.7185396	0.2332637	3	5	9	
E11_5_HB	coreHisMod	no	0.6912871	0.1897604	3	5	6	
E11_5_HT	sevenMarks	no	0.8455904	0.5507974	3	7	16	
E11_5_HT	coreMarks	no	0.7652769	0.4130945	5	6	9	
E11_5_HT	sixHisMod	no	0.8345037	0.58204	5	9	17	
E11_5_HT	coreHisMod	no	0.7092894	0.3911805	4	7	13	
E11_5_LM	sevenMarks	no	0.8276956	0.4703412	3	6	14	
E11_5_LM	coreMarks	no	0.7820502	0.38126	3	5	9	
E11_5_LM	sixHisMod	no	0.8061281	0.4177522	4	6	11	
E11_5_LM	coreHisMod	no	0.6854005	0.2647282	2	5	9	
E11_5_NT	sevenMarks	no	0.7628479	0.1747419	1	3	7	
E11_5_NT	coreMarks	no	0.7364725	0.1674009	2	5	6	
E11_5_NT	sixHisMod	no	0.7406796	0.1704335	2	3	6	
E11_5_NT	coreHisMod	no	0.6463754	0.1035513	2	3	4	
